constituency_no,constituency_name,district,election_type,reserved_status,winner_name,winner_party,winner_party_full,winner_votes,winner_vote_share_pct,runner_up_name,runner_up_party,runner_up_party_full,runner_up_votes,runner_up_vote_share_pct,margin_votes,margin_pct,total_valid_votes,nota_votes,turnout_pct,source_name,source_url,source_type,last_verified,notes
1,Mekliganj,Cooch Behar,assembly_2021,SC,DADHIRAM RAY,BJP,Bharatiya Janata Party,84653,85.16,GOBINDA CHANDRA ROY,OTHER,Other Parties,6853,6.89,77800,78.26,99406,2447,43.89,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
2,Mathabhanga,Cooch Behar,assembly_2021,SC,Sushil Barman,BJP,Bharatiya Janata Party,113249,52.87,Girindra Nath Barman,AITC,All India Trinamool Congress,87115,40.67,26134,12.20,214203,1443,86.36,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
3,COOCHBEHAR UTTAR,Cooch Behar,assembly_2021,SC,SUKUMAR ROY,BJP,Bharatiya Janata Party,120483,49.40,BINAY KRISHNA BARMAN,AITC,All India Trinamool Congress,105868,43.40,14615,5.99,243916,1570,86.19,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
4,Coochbehar Dakshin,Cooch Behar,assembly_2021,GEN,Nikhil Ranjan Dey,BJP,Bharatiya Janata Party,91560,46.83,Avijit De Bhowmik,AITC,All India Trinamool Congress,86629,44.31,4931,2.52,195505,1464,83.61,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
5,Sitalkuchi,Cooch Behar,assembly_2021,SC,Baren Chandra Barman,BJP,Bharatiya Janata Party,124955,50.80,Partha Pratim Ray,AITC,All India Trinamool Congress,107140,43.56,17815,7.24,245966,2743,86.23,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
6,Sitai,Cooch Behar,assembly_2021,SC,JAGADISH CHANDRA BARMA BASUNIA,AITC,All India Trinamool Congress,117908,49.42,DIPAK KUMAR ROY,BJP,Bharatiya Janata Party,107796,45.18,10112,4.24,238578,1577,82.11,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
7,Dinhata,Cooch Behar,assembly_2021,SC,NISITH PRAMANIK,BJP,Bharatiya Janata Party,116035,47.60,UDAYAN GUHA,AITC,All India Trinamool Congress,115978,47.58,57,0.02,243751,1537,81.45,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
8,Natabari,Cooch Behar,assembly_2021,GEN,Mihir Goswami,BJP,Bharatiya Janata Party,111743,51.45,Rabindra Nath Ghosh,AITC,All India Trinamool Congress,88303,40.66,23440,10.79,217173,1146,88.63,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
9,Tufanganj,Cooch Behar,assembly_2021,SC,Malati Rava Roy,BJP,Bharatiya Janata Party,114503,54.69,Pranab Kumar Dey,AITC,All India Trinamool Congress,83305,39.79,31198,14.90,209378,2069,89.36,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
10,Kumargram,Alipurduar,assembly_2021,ST,MANOJ KUMAR ORAON,BJP,Bharatiya Janata Party,111974,48.16,LEOS KUJUR (URAO),AITC,All India Trinamool Congress,100973,43.43,11001,4.73,232489,2718,85.18,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
11,Kalchini,Alipurduar,assembly_2021,ST,BISHAL LAMA,BJP,Bharatiya Janata Party,103104,52.65,PASSANG LAMA,AITC,All India Trinamool Congress,74528,38.06,28576,14.59,195815,2377,79.14,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
12,Alipurduars,Alipurduar,assembly_2021,GEN,SUMAN KANJILAL,BJP,Bharatiya Janata Party,107333,48.19,SOURAV CHAKRABORTY (GHUTIS),AITC,All India Trinamool Congress,91326,41.00,16007,7.19,222732,1981,85.45,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
13,Falakata,Alipurduar,assembly_2021,SC,DIPAK BARMAN,BJP,Bharatiya Janata Party,102993,46.71,SUBHASH CHANDRA ROY,AITC,All India Trinamool Congress,99003,44.90,3990,1.81,220500,1970,86.62,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
14,Madarihat,Alipurduar,assembly_2021,ST,MANOJ TIGGA,BJP,Bharatiya Janata Party,90718,54.35,RAJESH LAKRA,AITC,All India Trinamool Congress,61033,36.56,29685,17.78,166920,2622,78.49,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
15,Dhupguri,Jalpaiguri,assembly_2021,SC,BISHNU PADA RAY,BJP,Bharatiya Janata Party,104688,45.65,MITALI ROY,AITC,All India Trinamool Congress,100333,43.75,4355,1.90,229323,1984,87.16,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
16,Maynaguri,Jalpaiguri,assembly_2021,SC,Kaushik Roy,BJP,Bharatiya Janata Party,115306,48.84,Manoj Roy,AITC,All India Trinamool Congress,103395,43.79,11911,5.05,236093,3095,89.34,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
17,Jalpaiguri,Jalpaiguri,assembly_2021,SC,DR. PRADIP KUMAR BARMA,AITC,All India Trinamool Congress,95668,42.34,SOUJIT SINGHA (PIKU),BJP,Bharatiya Janata Party,94727,41.93,941,0.42,225933,3381,86.07,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
18,Rajganj,Jalpaiguri,assembly_2021,SC,KHAGESWAR ROY,AITC,All India Trinamool Congress,104641,48.50,SUPEN ROY,BJP,Bharatiya Janata Party,88868,41.19,15773,7.31,215755,3175,88.37,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
19,Dabgram-Fulbari,Jalpaiguri,assembly_2021,GEN,Sikha Chatterjee,BJP,Bharatiya Janata Party,129088,49.85,Goutam Deb,AITC,All India Trinamool Congress,101495,39.19,27593,10.65,258969,3379,83.44,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
20,Mal,Jalpaiguri,assembly_2021,ST,BULU CHIK BARAIK,AITC,All India Trinamool Congress,99086,46.46,MAHESH BAGEY,BJP,Bharatiya Janata Party,93621,43.90,5465,2.56,213255,4699,83.44,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
21,Nagrakata,Jalpaiguri,assembly_2021,ST,PUNA BHENGRA,BJP,Bharatiya Janata Party,94722,49.55,JOSEPH MUNDA,AITC,All India Trinamool Congress,71247,37.27,23475,12.28,191169,5454,80.56,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
22,Kalimpong,Kalimpong,assembly_2021,ST,RUDEN SADA LEPCHA,IND,Independent,58206,37.59,SUVA PRADHAN,BJP,Bharatiya Janata Party,54336,35.09,3870,2.50,154863,2160,73.08,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
23,Darjeeling,Darjeeling,assembly_2021,ST,NEERAJ TAMANG ZIMBA,BJP,Bharatiya Janata Party,68907,40.88,KESHAV RAJ SHARMA,IND,Independent,47631,28.26,21276,12.62,168575,2540,68.34,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
24,Kurseong,Darjeeling,assembly_2021,GEN,Bishnu Prasad Sharma (alias B.P. Bajgain),BJP,Bharatiya Janata Party,73475,41.86,Tshering Lama,IND,Independent,57960,33.02,15515,8.84,175545,2417,74.23,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
25,Matigara-Naxalbari,Darjeeling,assembly_2021,SC,Anandamay Barman,BJP,Bharatiya Janata Party,139785,58.10,Rajen Sundas,AITC,All India Trinamool Congress,68937,28.65,70848,29.45,240591,3912,83.66,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
26,Siliguri,Darjeeling,assembly_2021,GEN,Sankar Ghosh,BJP,Bharatiya Janata Party,89370,50.03,Dr. Omprakash Mishra,AITC,All India Trinamool Congress,53784,30.11,35586,19.92,178650,2074,78.22,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
27,Phansidewa,Darjeeling,assembly_2021,ST,Durga Murmu,BJP,Bharatiya Janata Party,105651,50.89,Chhotan Kisku,AITC,All India Trinamool Congress,77940,37.55,27711,13.35,207590,2575,86.32,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
28,Chopra,Uttar Dinajpur,assembly_2021,GEN,HAMIDUL RAHAMAN,AITC,All India Trinamool Congress,124923,61.20,MD. SHAHIN AKHTER,BJP,Bharatiya Janata Party,60018,29.40,64905,31.80,204110,1531,82.38,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
29,Islampur,Uttar Dinajpur,assembly_2021,GEN,ABDUL KARIM CHOWDHARY,AITC,All India Trinamool Congress,100131,58.91,SAUMYAROOP MANDAL,BJP,Bharatiya Janata Party,62691,36.88,37440,22.03,169974,1976,77.36,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
30,Goalpokhar,Uttar Dinajpur,assembly_2021,GEN,MD. GHULAM RABBANI,AITC,All India Trinamool Congress,105649,65.40,MD. GHULAM SARWAR,BJP,Bharatiya Janata Party,32135,19.89,73514,45.51,161535,2016,71.91,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
31,Chakulia,Uttar Dinajpur,assembly_2021,GEN,AZAD MINHAJUL ARFIN,AITC,All India Trinamool Congress,86311,49.78,SACHIN PRASAD,BJP,Bharatiya Janata Party,52474,30.26,33837,19.51,173400,1186,74.30,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
32,Karandighi,Uttar Dinajpur,assembly_2021,GEN,GOUTAM PAUL,AITC,All India Trinamool Congress,116594,54.70,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,BJP,Bharatiya Janata Party,79968,37.52,36626,17.18,213136,2449,81.17,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
33,Hemtabad,Uttar Dinajpur,assembly_2021,SC,SATYAJIT BARMAN,AITC,All India Trinamool Congress,116425,52.14,CHANDIMA ROY,BJP,Bharatiya Janata Party,89210,39.95,27215,12.19,223301,2160,84.16,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
34,Kaliaganj,Uttar Dinajpur,assembly_2021,SC,SOUMEN ROY,BJP,Bharatiya Janata Party,116768,48.71,TAPAN DEB SINGHA,AITC,All India Trinamool Congress,94948,39.61,21820,9.10,239726,3007,84.84,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
35,Raiganj,Uttar Dinajpur,assembly_2021,GEN,KRISHNA KALYANI,BJP,Bharatiya Janata Party,79775,49.44,AGARWAL KANAIA LAL,AITC,All India Trinamool Congress,59027,36.58,20748,12.86,161347,2468,81.17,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
36,Itahar,Uttar Dinajpur,assembly_2021,GEN,MOSARAF HUSSEN,AITC,All India Trinamool Congress,114645,59.10,AMIT KUMAR KUNDU,BJP,Bharatiya Janata Party,70670,36.43,43975,22.67,193986,1240,84.58,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
37,Kushmandi,Dakshin Dinajpur,assembly_2021,SC,REKHA ROY,AITC,All India Trinamool Congress,89968,48.88,RANJIT KUMAR ROY,BJP,Bharatiya Janata Party,77384,42.04,12584,6.84,184075,1598,83.70,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
38,Kumarganj,Dakshin Dinajpur,assembly_2021,GEN,TORAF HOSSAIN MANDAL,AITC,All India Trinamool Congress,89763,52.52,Manas Sarkar,BJP,Bharatiya Janata Party,60396,35.33,29367,17.18,170928,1125,83.79,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
39,Balurghat,Dakshin Dinajpur,assembly_2021,GEN,Ashok Kumar Lahiri,BJP,Bharatiya Janata Party,72129,47.42,Sekhar Dasgupta,AITC,All India Trinamool Congress,58693,38.59,13436,8.83,152092,1830,84.31,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
40,Tapan,Dakshin Dinajpur,assembly_2021,ST,BUDHRAI TUDU,BJP,Bharatiya Janata Party,84381,45.29,KALPANA KISKU,AITC,All India Trinamool Congress,82731,44.41,1650,0.89,186309,1703,84.60,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
41,Gangarampur,Dakshin Dinajpur,assembly_2021,SC,SATYENDRA NATH RAY,BJP,Bharatiya Janata Party,88724,46.82,GOUTAM DAS,AITC,All India Trinamool Congress,84132,44.40,4592,2.42,189482,1149,84.58,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
42,Harirampur,Dakshin Dinajpur,assembly_2021,GEN,BIPLAB MITRA,AITC,All India Trinamool Congress,96131,51.23,NILANJAN ROY,BJP,Bharatiya Janata Party,73459,39.15,22672,12.08,187642,1823,82.23,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
43,Habibpur,Malda,assembly_2021,ST,JOYEL MURMU,BJP,Bharatiya Janata Party,94075,47.52,PRODIP BASKEY,AITC,All India Trinamool Congress,74558,37.66,19517,9.86,197989,2162,79.34,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
44,Gazole,Malda,assembly_2021,SC,CHINMOY DEB BARMAN,BJP,Bharatiya Janata Party,100655,45.50,BASANTI BARMAN,AITC,All India Trinamool Congress,98857,44.69,1798,0.81,221214,1736,82.82,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
45,Chanchal,Malda,assembly_2021,GEN,Nihar Ranjan Ghosh,AITC,All India Trinamool Congress,115966,58.08,Dipankar Ram (Bankat),BJP,Bharatiya Janata Party,48628,24.35,67338,33.72,199679,1023,80.06,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
46,Harischandrapur,Malda,assembly_2021,GEN,TAJMUL HOSSAIN,AITC,All India Trinamool Congress,122527,60.31,MD. MATIBUR RAHAMAN,BJP,Bharatiya Janata Party,45054,22.18,77473,38.14,203153,1012,80.46,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
47,Malatipur,Malda,assembly_2021,GEN,ABDUR RAHIM BOXI,AITC,All India Trinamool Congress,126157,68.02,MOUSUMI DAS,BJP,Bharatiya Janata Party,34208,18.44,91949,49.57,185484,2034,79.98,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
48,Ratua,Malda,assembly_2021,GEN,Samar Mukherjee,AITC,All India Trinamool Congress,130674,59.63,Abishek Singhania,BJP,Bharatiya Janata Party,55024,25.11,75650,34.52,219148,2051,77.59,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
49,Manikchak,Malda,assembly_2021,GEN,SABITRI MITRA,AITC,All India Trinamool Congress,110234,53.26,GOUR CHANDRA MANDAL,BJP,Bharatiya Janata Party,76356,36.89,33878,16.37,206991,1367,81.70,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
50,Maldaha,Malda,assembly_2021,SC,Gopal Chandra Saha,BJP,Bharatiya Janata Party,93398,45.23,Ujjwal Kumar Chowdhury,AITC,All India Trinamool Congress,77942,37.75,15456,7.49,206489,2818,83.95,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
51,English Bazar,Malda,assembly_2021,GEN,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),BJP,Bharatiya Janata Party,107755,49.96,KRISHNENDU NARAYAN CHOUDHURY,AITC,All India Trinamool Congress,87656,40.64,20099,9.32,215675,3196,78.34,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
52,Mothabari,Malda,assembly_2021,GEN,YEASMIN SABINA,AITC,All India Trinamool Congress,97397,59.70,SHYAMCHAND GHOSH,BJP,Bharatiya Janata Party,40824,25.02,56573,34.68,163143,2139,83.10,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
53,Sujapur,Malda,assembly_2021,GEN,Md Abdul Ghani,AITC,All India Trinamool Congress,152445,73.44,Isha Khan Choudhury,INC,Indian National Congress,22282,10.73,130163,62.70,207591,1527,82.64,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
54,Baisnabnagar,Malda,assembly_2021,GEN,CHANDANA SARKAR,AITC,All India Trinamool Congress,83061,39.81,SWADHIN KUMAR SARKAR,BJP,Bharatiya Janata Party,80590,38.62,2471,1.18,208652,1705,84.49,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
55,Farakka,Murshidabad,assembly_2021,GEN,MANIRUL ISLAM,AITC,All India Trinamool Congress,102319,54.89,GHOSH HEMANTA,BJP,Bharatiya Janata Party,42374,22.73,59945,32.16,186424,1638,81.93,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
56,Samserganj,Murshidabad,assembly_2021,GEN,Amirul Islam,AITC,All India Trinamool Congress,96417,51.13,Zaidur Rahaman,INC,Indian National Congress,70038,37.14,26379,13.99,188582,3064,80.05,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
57,Suti,Murshidabad,assembly_2021,GEN,EMANI BISWAS,AITC,All India Trinamool Congress,127351,58.87,KOUSHIK DAS,BJP,Bharatiya Janata Party,56650,26.19,70701,32.68,216328,2724,81.50,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
58,Jangipur,Murshidabad,assembly_2021,GEN,JAKIR HOSSAIN,AITC,All India Trinamool Congress,136444,68.82,SUJIT DAS,BJP,Bharatiya Janata Party,43964,22.17,92480,46.65,198263,4557,77.73,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
59,RaghunathGanj,Murshidabad,assembly_2021,GEN,Akhruzzaman,AITC,All India Trinamool Congress,126834,66.59,Golam Modaswer,BJP,Bharatiya Janata Party,28521,14.97,98313,51.61,190478,2938,76.33,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
60,Sagardighi,Murshidabad,assembly_2021,GEN,SUBRATA SAHA,AITC,All India Trinamool Congress,95189,50.95,KHATUN MAFUJA,BJP,Bharatiya Janata Party,44983,24.08,50206,26.87,186816,1705,78.86,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
61,Lalgola,Murshidabad,assembly_2021,GEN,ALI MOHAMMAD,AITC,All India Trinamool Congress,107860,56.64,ABU HENA,INC,Indian National Congress,47153,24.76,60707,31.88,190438,1394,81.25,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
62,Bhagawangola,Murshidabad,assembly_2021,GEN,IDRIS ALI,AITC,All India Trinamool Congress,153795,68.05,MD. KAMAL HOSSAIN,CPIM,Communist Party of India (Marxist),47787,21.15,106008,46.91,225990,3396,85.68,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
63,Raninagar,Murshidabad,assembly_2021,GEN,ABDUL SOUMIK HOSSAIN,AITC,All India Trinamool Congress,134957,60.79,FIROZA BEGAM,INC,Indian National Congress,55255,24.89,79702,35.90,222016,2774,86.69,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
64,Murshidabad,Murshidabad,assembly_2021,GEN,GOURI SANKAR GHOSH,BJP,Bharatiya Janata Party,95967,41.86,SHAONI SINGHA ROY,AITC,All India Trinamool Congress,93476,40.78,2491,1.09,229231,2904,85.46,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
65,Nabagram,Murshidabad,assembly_2021,SC,KANAI CHANDRA MONDAL,AITC,All India Trinamool Congress,100455,48.18,MOHAN HALDER,BJP,Bharatiya Janata Party,64922,31.14,35533,17.04,208516,2629,82.95,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
66,Khargram,Murshidabad,assembly_2021,SC,ASHIS MARJIT,AITC,All India Trinamool Congress,93255,50.15,ADITYA MOULIK,BJP,Bharatiya Janata Party,60682,32.64,32573,17.52,185936,1685,81.22,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
67,Burwan,Murshidabad,assembly_2021,SC,JIBAN KRISHNA SAHA,AITC,All India Trinamool Congress,81890,46.32,AMIYA KUMAR DAS,BJP,Bharatiya Janata Party,79141,44.76,2749,1.55,176803,2008,81.29,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
68,Kandi,Murshidabad,assembly_2021,GEN,APURBA SARKAR (DAVID),AITC,All India Trinamool Congress,95399,51.16,GOUTAM ROY,BJP,Bharatiya Janata Party,57319,30.74,38080,20.42,186481,3131,78.03,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
69,Bharatpur,Murshidabad,assembly_2021,GEN,HUMAYUN KABIR,AITC,All India Trinamool Congress,96226,50.90,IMAN KALYAN MUKHERJEE,BJP,Bharatiya Janata Party,53143,28.11,43083,22.79,189047,2444,77.60,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
70,Rejinagar,Murshidabad,assembly_2021,GEN,RABIUL ALAM CHOWDHURY,AITC,All India Trinamool Congress,118494,56.31,ARABINDA BISWAS,BJP,Bharatiya Janata Party,50226,23.87,68268,32.44,210445,1560,81.01,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
71,Beldanga,Murshidabad,assembly_2021,GEN,HASANUZZAMAN SK,AITC,All India Trinamool Congress,112862,55.19,SUMIT GHOSH,BJP,Bharatiya Janata Party,59030,28.86,53832,26.32,204511,1368,80.85,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
72,Baharampur,Murshidabad,assembly_2021,GEN,Subrata Maitra (Kanchan),BJP,Bharatiya Janata Party,89340,45.21,Naru Gopal Mukherjee,AITC,All India Trinamool Congress,62488,31.62,26852,13.59,197607,2525,75.81,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
73,Hariharpara,Murshidabad,assembly_2021,GEN,NIAMOT SHEIKH,AITC,All India Trinamool Congress,102660,47.51,MIR ALAMGIR (PALASH),INC,Indian National Congress,88594,41.00,14066,6.51,216075,1117,87.33,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
74,Nowda,Murshidabad,assembly_2021,GEN,SAHINA MOMTAZ KHAN,AITC,All India Trinamool Congress,117684,58.16,ANUPAM MANDAL,BJP,Bharatiya Janata Party,43531,21.51,74153,36.65,202349,1308,81.70,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
75,Domkal,Murshidabad,assembly_2021,GEN,JAFIKUL ISLAM,AITC,All India Trinamool Congress,127671,56.45,MD. MOSTAFIJUR RAHAMAN (RANA),CPIM,Communist Party of India (Marxist),80442,35.57,47229,20.88,226183,2419,84.94,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
76,Jalangi,Murshidabad,assembly_2021,GEN,ABDUR RAZZAK,AITC,All India Trinamool Congress,123840,55.74,SAIFUL ISLAM MOLLA,CPIM,Communist Party of India (Marxist),44564,20.06,79276,35.68,222167,2551,85.04,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
77,Karimpur,Nadia,assembly_2021,GEN,Bimalendu Sinha Roy,AITC,All India Trinamool Congress,110911,50.07,Samarendranath Ghosh,BJP,Bharatiya Janata Party,87336,39.43,23575,10.64,221506,1328,88.24,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
78,Tehatta,Nadia,assembly_2021,GEN,Tapas Kumar Saha,AITC,All India Trinamool Congress,97848,44.86,Ashutosh Paul,BJP,Bharatiya Janata Party,90933,41.69,6915,3.17,218109,1736,86.40,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
79,Palashipara,Nadia,assembly_2021,GEN,Dr. Manik Bhattacharya,AITC,All India Trinamool Congress,110274,54.22,Bibhash Chandra Mandal,BJP,Bharatiya Janata Party,58938,28.98,51336,25.24,203385,1654,83.06,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
80,Kaliganj,Nadia,assembly_2021,GEN,NASIRUDDIN AHAMED (LAL),AITC,All India Trinamool Congress,111696,53.35,ABHIJIT GHOSH,BJP,Bharatiya Janata Party,64709,30.91,46987,22.44,209379,2051,84.31,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
81,Nakashipara,Nadia,assembly_2021,GEN,Kallol Khan,AITC,All India Trinamool Congress,104812,50.01,Santanu Dey,BJP,Bharatiya Janata Party,83541,39.86,21271,10.15,209570,1146,84.61,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
82,Chapra,Nadia,assembly_2021,GEN,RUKBANUR RAHMAN,AITC,All India Trinamool Congress,73866,34.65,JEBER SEKH,IND,Independent,61748,28.97,12118,5.68,213175,2023,85.95,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
